1;1;1;2022-06-05 14:17:21.989193
2;2;2;2022-06-05 14:17:36.193938
4;5;6;2022-06-05 14:48:13.147388
7;7;7;2022-06-05 17:35:22.182570
;7;7;2022-06-05 17:35:33.369176
8;12;12;2022-06-05 18:44:35.364014
9;Место установки;Дата установки;2022-06-05 19:36:30.681026
10;Место установки;Дата установки;2022-06-05 19:34:30.433646
11;11;11;2022-06-05 19:00:57.497172
Серийный номер;Место установки;Дата установки;2022-06-05 19:29:57.438280
12;1212;1212;2022-06-05 19:36:59.897732
13;13;13;2022-06-05 19:40:32.507781
14;Пангоды;05.06.2022;2022-06-05 20:18:21.116537
15;1515;1515;2022-06-05 20:20:07.342183
1;1;1;2022-06-05 14:17:21.989193
1;1;1;2022-06-05 14:17:21.989193
2;2н;2н;2022-06-05 14:17:36.193938
4;5н;6н;2022-06-05 14:48:13.147388
7;7н;7н;2022-06-05 17:35:22.182570
;7н;7н;2022-06-05 17:35:33.369176
8;12н;12н;2022-06-05 18:44:35.364014
9;нМесто установки;Дата установки;2022-06-05 19:36:30.681026
10;нМесто установки;Дата установки;2022-06-05 19:34:30.433646
11;н11;н11;2022-06-05 19:00:57.497172
Серийный номер;Место установки;Дата установки;2022-06-05 19:29:57.438280
12;1212;1212;2022-06-05 19:36:59.897732
13;13;13;2022-06-05 19:40:32.507781
14;Пангоды;05.06.2022;2022-06-05 20:18:21.116537
15;1515;1515;2022-06-05 20:20:07.342183
16;новая запись; новая запись; 12
5;54;54;2022-06-21 19:44:59.592540
1;Пангоды;2012;2022-06-21 20:59:47.351064
1;Пангоды;2012;2022-06-21 20:59:47.351064
1;Пангоды;2012;2022-06-21 20:59:47.351064
1;Пангоды;2012;2022-06-21 20:59:47.351064
1;Пангоды;2012;2022-06-21 20:59:47.351064
1;Пангоды;2012;2022-06-21 20:59:47.351064
1;Пангоды;2012;2022-06-21 20:59:47.351064
1;Пангоды;2012;2022-06-21 20:59:47.351064
-;-;-;-
-;-;-;-
csv;csv;csv;csv
csv;csv;csv;csv
csv;csv;csv;csv
